Price_Dollars,Q_Low_Gallons,Q_High_Gallons,Q_Aggregrate
3.07,"127,186","431,930","559,116"
3.59,"91,075","395,627","486,702"
4.04,"106,669","455,595","562,264"
4.52,"110,221","436,765","546,986"
5.03,"102,760","358,551","461,311"
5.57,"94,782","408,954","503,736"
6,"81,100","360,884","441,984"
6.57,"86,685","356,827","443,512"
7.05,"68,583","306,290","374,873"
7.55,"76,148","262,054","338,202"
8.07,"71,043","255,915","326,958"
8.5,"20,144","267,970","288,114"
9.06,"29,622","293,996","323,618"
9.59,"14,082","252,470","266,552"
10.02,"37,392","223,554","260,946"
10.56,"16,926","173,220","190,146"
11.08,0,"208,144","208,144"
11.59,"38,446","158,071","196,517"
12.01,"15,292","134,646","149,938"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,